?property	?propertyType	?propertyLabel	?propertyDescription	?propertyAltLabel
<http://www.wikidata.org/entity/P161>		cast member@en	actor in the subject production [use \character role\" (P453) and/or \"name of the character role\" (P4633) as qualifiers] [use \"voice actor\" (P725) for voice-only role]"@en	actor, actress, feat., featuring, contestant of a play, film starring, starring, starring (film/play)@en
<http://www.wikidata.org/entity/P166>		award received@en	award or recognition received by a person, organisation or creative work@en	award, awards, award won, awarded, awards received, honorary title, honors, honours, medals, prize awarded, prize received, recognition title, win, winner of@en
<http://www.wikidata.org/entity/P170>		creator@en	maker of this creative work or other object (where no more specific property exists)@en	sculptor, painter, sculptors, created by, made by, created, painters, artist (non-musical), creators@en
<http://www.wikidata.org/entity/P175>		performer@en	actor, musician, band or other performer associated with this role or musical work@en	singer, actor, actress, artist, musician, dancer, musical artist, performed by, played by, portrayed by, recorded by, recording by, sung by@en
<http://www.wikidata.org/entity/P180>		depicts@en	depicted entity (see also P921: main subject)@en	subject, motif, represents, plot, pictures, shows, depicting, depiction of, landscape of, painting of, portrait of, portrays, resembles, show of@en
<http://www.wikidata.org/entity/P190>		twinned administrative body@en	twin towns, sister cities, twinned municipalities and other localities that have a partnership or cooperative agreement, either legally or informally acknowledged by their governments@en	twin town, partner city, partner town, sister city, sister town, twin cities, twin city@en
<http://www.wikidata.org/entity/P197>		adjacent station@en	the stations next to this station, sharing the same line(s)@en	neighbouring station, next station, next stop, previous station@en
<http://www.wikidata.org/entity/P241>		military branch@en	branch to which this military unit, award, office, or person belongs, e.g. Royal Navy@en	formation, branch, service branch, unit branch@en
<http://www.wikidata.org/entity/P276>		location@en	location of the object, structure or event. In the case of an administrative entity as containing item use P131. For statistical entities use P8138. In the case of a geographic entity use P706. Use P7153 for locations associated with the object.@en	neighborhood, locality, venue, event location, region, based in, in, locale, is in, located, located in, location of item, moveable object location, place held@en
<http://www.wikidata.org/entity/P286>		head coach@en	on-field manager or head coach of a sports club (not to be confused with a general manager P505, which is not a coaching position) or person@en	coach, manager, club manager, coached by, led by, senior coach, team manager@en
<http://www.wikidata.org/entity/P411>		canonization status@en	stage in the process of attaining sainthood per the subject's religious organization@en	canonisation status, sainthood status@en
<http://www.wikidata.org/entity/P457>		foundational text@en	text through which an institution or object has been created or established@en	treaty, constitution, charter, created by, constitutive text, created in document, enabling law, established under, establishing document, founding document, organic law@en
<http://www.wikidata.org/entity/P463>		member of@en	organization, club or musical group to which the subject belongs. Do not use for membership in ethnic or social groups, nor for holding a political position, such as a member of parliament (use P39 for that).@en	band member of, be member of, membership, member of musical group, in musical group@en
<http://www.wikidata.org/entity/P512>		academic degree@en	academic degree that the person holds@en	degree, diploma, academic diploma@en
<http://www.wikidata.org/entity/P521>		scheduled service destination@en	airport or station connected by regular direct service to the subject; for the destination of a trip see P1444@en	
<http://www.wikidata.org/entity/P530>		diplomatic relation@en	diplomatic relations of the country@en	foreign relations, ambassadorial relation, ambassadorial relations, diplomatic relation, diplomatic relations, foreign relation, political relation, political relations@en
<http://www.wikidata.org/entity/P551>		residence@en	the place where the person is or has been, resident@en	lives in, home town, hometown, lived in, place of residence, resided at, resided in, resident in, resident of, has resided in@en
<http://www.wikidata.org/entity/P610>		highest point@en	point with highest elevation in a region, or on the path of a race or route@en	summit, pinnacle, highest peak, zenith, elevation of highest point, extreme point highest@en
<http://www.wikidata.org/entity/P612>		mother house@en	principal house or community for a religious institute@en	cell of, motherhouse@en
<http://www.wikidata.org/entity/P647>		drafted by@en	which team the player was drafted by@en	
<http://www.wikidata.org/entity/P669>		located on street@en	street, road, or square, where the item is located. To add the number, use Property:P670 \street number\" as qualifier. Use property P6375 if there is no item for the street"@en	street, road, square, address street, is on, located at street (item), on street@en
<http://www.wikidata.org/entity/P708>		diocese@en	administrative division of the church to which the element belongs; use P5607 for other types of ecclesiastical territorial entities@en	archdiocese, bishopric, archbishopric@en
<http://www.wikidata.org/entity/P710>		participant@en	person, group of people or organization (object) that actively takes/took part in an event or process (subject).  Preferably qualify with \object has role\" (P3831). Use P1923 for participants that are teams."@en	agent, accused, party, attendee, belligerents, between, competitor, event participant, participants, player, suspect@en
<http://www.wikidata.org/entity/P725>		voice actor@en	performer of a spoken role in a creative work such as animation, video game, radio drama, or dubbing over [use \character role\" (P453) as qualifier] [use \"cast member\" (P161) for live acting]"@en	CV, voice actress, VA, VO, voice dubber, seiyu, dubbed by, vocal role as, voice actors, voice actresses, voiced by@en
